Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Development kit","Overall project development including jumper wires, breadboards, resistors,led, simple buzzers e.t.c ",1,10.00,"https://www.amazon.com/s?k=breadboard+jumper+wire+kit","amazon"
"3.5 inch Raspberry Pi Touchscreen","This one is for developers or owners of the system they can take reports add or delete users or cards, look into live system and for all over raspberry pi controlling.",1,30.00,"https://www.amazon.com/s?k=3.5+inch+raspberry+pi+touchscreen","amazon"
"64GB SanDisk High Endurance MicroSD Card","For operating system and internal storage for the rasp pi 3b+",1,16.00,"https://www.amazon.com/s?k=SanDisk+64GB+High+Endurance+microSD","amazon"
"2 Channel Relay Module","For battery to door lock power controller relay or switch",1,5.00,"https://www.amazon.com/s?k=2+channel+relay+module","amazon"
"Raspberry Pi UPS Battery Module","A battery supply to the raspberry pi 3b+",1,16.00,"https://www.amazon.com/s?k=raspberry+pi+ups+battery+module","amazon"
"R307 Fingerprint Sensor","Additional Biometerics for the attendance system.",1,17.00,"https://www.amazon.com/s?k=R307+fingerprint+sensor","amazon"
"3D Printed Custom Case (Local Store)","For total cover and safety( designing and printing in blender)",1,20.00,"","Localstore"
"Electronic Door Lock Module","For main locking system",1,14.00,"https://www.amazon.com/s?k=electronic+door+lock+module","amazon"
"0.96 OLED Mini Display","For showing live picture output incase of failure or if the user is not able to be seen clear they will get near or far from the camera according to what they see on the display.",1,5.00,"https://www.amazon.com/s?k=0.96+OLED+display","amazon"
"LCD 16x2 Display","For showing text feedback for users",1,9.00,"https://www.amazon.com/s?k=LCD+16x2+display","amazon"
"DFPlayer Mini MP3 + Speaker","For feedback with the user in sound: acces granted, access denied, unable to get picture, please move forward e.t.c",1,8.00,"https://www.amazon.com/s?k=DFPlayer+Mini","amazon"
"ESP32-CAM","For fast capturing of picture interms of two step verification",1,9.00,"https://www.amazon.com/s?k=ESP32-CAM","amazon"
"RC522 RF id sensor","or sensing cards that are currenty scanning",1,6.00,"https://www.amazon.com/s?k=RC522+RFID+module","amazon"
"Raspberry pi 3b+","Main brain controller for scanning, data organizing and fast detection and feedback system for captured attendance.",1,45.00,"https://www.amazon.com/s?k=Raspberry+Pi+3B%2B","amazon"
